Job,2015,2014,2013,2012,2011,Industry
Registered nurses,58032,56680,57148,57044,54028,Healthcare practitioners and technical occupations
Nurse practitioners,79664,87516,83980,83720,75972,Healthcare practitioners and technical occupations
Clinical laboratory technologists and technicians,46852,42848,46332,45188,44772,Healthcare practitioners and technical occupations
Dental hygienists,47528,49764,52260,54340,51272,Healthcare practitioners and technical occupations
Diagnostic related technologists and technicians,50128,51532,47788,49972,51012,Healthcare practitioners and technical occupations
Emergency medical technicians and paramedics,42172,39208,41392,40560,37180,Healthcare practitioners and technical occupations
Health practitioner support technologists and technicians,33072,32136,32188,31980,33488,Healthcare practitioners and technical occupations
Licensed practical and licensed vocational nurses,38636,39052,38532,38012,37544,Healthcare practitioners and technical occupations
Medical records and health information technicians,38480,41080,31824,32136,30576,Healthcare practitioners and technical occupations
Miscellaneous health technologists and technicians,34892,42640,44148,40144,38688,Healthcare practitioners and technical occupations
Other healthcare practitioners and technical occupations,58656,52000,55380,46800,45240,Healthcare practitioners and technical occupations
Service occupations,26468,26260,25636,25220,25272,Service occupations
Healthcare support occupations,25896,25896,25532,25064,25324,Healthcare support occupations
"Nursing, psychiatric, and home health aides",24284,24544,23764,23452,23556,Healthcare support occupations
Physical therapist assistants and aides,38584,36036,,,34580,Healthcare support occupations
Dental assistants,27612,27820,29692,30108,30108,Healthcare support occupations
Medical assistants,28028,28392,27612,26728,27144,Healthcare support occupations
Phlebotomists,28652,27716,30316,27040,27092,Healthcare support occupations
"Miscellaneous healthcare support occupations, including medical equipment preparers",27248,26468,24024,25324,25324,Healthcare support occupations
Protective service occupations,41392,43316,40716,41132,39364,Protective service occupations
First-line supervisors of correctional officers,44512,,,42640,,Protective service occupations
First-line supervisors of police and detectives,74204,58604,59228,63232,56316,Protective service occupations
First-line supervisors of fire fighting and prevention workers,,74776,56264,66092,,Protective service occupations
"First-line supervisors of protective service workers, all other",42016,47476,40820,45812,37232,Protective service occupations
Firefighters,53716,59176,51792,55536,52000,Protective service occupations
Fire inspectors,,,,,,Protective service occupations
"Bailiffs, correctional officers, and jailers",39208,37960,35516,37544,35464,Protective service occupations
Detectives and criminal investigators,60268,60996,54808,55224,60008,Protective service occupations
Fish and game wardens,,,,,,Protective service occupations
Parking enforcement workers,,,,,,Protective service occupations
Police and sheriff's patrol officers,52104,52936,52364,50908,49244,Protective service occupations
Transit and railroad police,,,,,,Protective service occupations
Animal control workers,,,,,,Protective service occupations
Private detectives and investigators,43836,53300,49296,44096,45188,Protective service occupations
Security guards and gaming surveillance officers,29484,29588,27664,27456,26988,Protective service occupations
Food preparation and serving related occupations,22932,22828,21632,21320,21268,Food preparation and serving related occupations
Chefs and head cooks,32188,30680,29848,29224,30160,Food preparation and serving related occupations
First-line supervisors of food preparation and serving workers,25896,26832,25532,25532,25220,Food preparation and serving related occupations
Cooks,21632,21476,20904,20228,20280,Food preparation and serving related occupations
Food preparation workers,20904,21112,20124,19916,19968,Food preparation and serving related occupations
Bartenders,27092,27144,26676,23920,28340,Food preparation and serving related occupations
"Combined food preparation and serving workers, including fast food",20332,19708,19968,19864,20124,Food preparation and serving related occupations
"Counter attendants, cafeteria, food concession, and coffee shop",18408,18148,16640,18200,16796,Food preparation and serving related occupations
Waiters and waitresses,23452,22672,21476,21372,21164,Food preparation and serving related occupations
"Food servers, nonrestaurant",26468,26104,23816,23712,21788,Food preparation and serving related occupations
Dining room and cafeteria attendants and bartender helpers,20956,23452,21424,19240,19916,Food preparation and serving related occupations
Dishwashers,20696,19136,18512,17940,17264,Food preparation and serving related occupations
"Hosts and hostesses, restaurant, lounge, and coffee shop",20800,22516,20436,20332,19188,Food preparation and serving related occupations
Building and grounds cleaning and maintenance occupations,25272,24960,24700,24180,24180,Building and grounds cleaning and maintenance occupations
First-line supervisors of housekeeping and janitorial workers,32240,30992,33176,29588,33592,Building and grounds cleaning and maintenance occupations
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",33748,37284,39832,38740,41444,Building and grounds cleaning and maintenance occupations
Janitors and building cleaners,26364,26104,25324,25168,25428,Building and grounds cleaning and maintenance occupations
Maids and housekeeping cleaners,21632,20852,21476,20748,20748,Building and grounds cleaning and maintenance occupations
Pest control workers,30420,33956,31668,29692,29900,Building and grounds cleaning and maintenance occupations
Grounds maintenance workers,24388,23868,23140,23660,22100,Building and grounds cleaning and maintenance occupations
Personal care and service occupations,25896,25324,25012,24336,23556,Personal care and service occupations
First-line supervisors of gaming workers,39988,41028,39260,39104,38428,Personal care and service occupations
First-line supervisors of personal service workers,31616,29484,30940,31200,31876,Personal care and service occupations
Nonfarm animal caretakers,26260,25428,23816,21528,21788,Personal care and service occupations
Gaming services workers,35152,32604,33852,31408,33072,Personal care and service occupations
Miscellaneous entertainment attendants and related workers,25220,24596,21788,24440,22048,Personal care and service occupations
Barbers,,,20228,24232,,Personal care and service occupations
"Hairdressers, hairstylists, and cosmetologists",23972,25064,25376,24596,23556,Personal care and service occupations
Miscellaneous personal appearance workers,26052,22464,25740,22204,22932,Personal care and service occupations
"Baggage porters, bellhops, and concierges",31616,32916,25532,,28340,Personal care and service occupations
Childcare workers,22724,22984,21736,20280,19864,Personal care and service occupations
Personal care aides,24024,22568,23348,21944,21424,Personal care and service occupations
Recreation and fitness workers,28860,31148,27976,29900,26312,Personal care and service occupations
"Personal care and service workers, all other",25948,,,,,Personal care and service occupations
